Epoch: 2060, Train Loss: 1.984, Val AUC: 0.837
Epoch: 2070, Train Loss: 1.976, Val AUC: 0.837
Epoch: 2080, Train Loss: 1.971, Val AUC: 0.836
Epoch: 2090, Train Loss: 1.964, Val AUC: 0.836
Epoch: 2100, Train Loss: 1.930, Val AUC: 0.837
Epoch: 2110, Train Loss: 1.944, Val AUC: 0.837
Epoch: 2120, Train Loss: 1.944, Val AUC: 0.837
Epoch: 2130, Train Loss: 1.915, Val AUC: 0.837
Epoch: 2140, Train Loss: 1.923, Val AUC: 0.837
Epoch: 2150, Train Loss: 1.912, Val AUC: 0.839
Epoch: 2160, Train Loss: 1.895, Val AUC: 0.837
Epoch: 2170, Train Loss: 1.904, Val AUC: 0.837
Epoch: 2180, Train Loss: 1.880, Val AUC: 0.837
Epoch: 2190, Train Loss: 1.878, Val AUC: 0.838
Epoch: 2200, Train Loss: 1.864, Val AUC: 0.837
Epoch: 2210, Train Loss: 1.868, Val AUC: 0.838
Epoch: 2220, Train Loss: 1.842, Val AUC: 0.838
Epoch: 2230, Train Loss: 1.851, Val AUC: 0.839
Epoch: 2240, Train Loss: 1.837, Val AUC: 0.838
Epoch: 2250, Train Loss: 1.842, Val AUC: 0.838
Epoch: 2260, Train Loss: 1.815, Val AUC: 0.837
Epoch: 2270, Train Loss: 1.829, Val AUC: 0.837
Epoch: 2280, Train Loss: 1.818, Val AUC: 0.838
Epoch: 2290, Train Loss: 1.795, Val AUC: 0.839
Epoch: 2300, Train Loss: 1.786, Val AUC: 0.838
Epoch: 2310, Train Loss: 1.795, Val AUC: 0.837
Epoch: 2320, Train Loss: 1.781, Val AUC: 0.838
Epoch: 2330, Train Loss: 1.773, Val AUC: 0.839
Epoch: 2340, Train Loss: 1.755, Val AUC: 0.840
Epoch: 2350, Train Loss: 1.739, Val AUC: 0.839
Epoch: 2360, Train Loss: 1.746, Val AUC: 0.838
Epoch: 2370, Train Loss: 1.737, Val AUC: 0.838
Epoch: 2380, Train Loss: 1.734, Val AUC: 0.839
Epoch: 2390, Train Loss: 1.718, Val AUC: 0.840
Epoch: 2400, Train Loss: 1.702, Val AUC: 0.837
Epoch: 2410, Train Loss: 1.694, Val AUC: 0.839
Epoch: 2420, Train Loss: 1.684, Val AUC: 0.839
Epoch: 2430, Train Loss: 1.668, Val AUC: 0.837
Epoch: 2440, Train Loss: 1.653, Val AUC: 0.838
Epoch: 2450, Train Loss: 1.656, Val AUC: 0.840
Epoch: 2460, Train Loss: 1.639, Val AUC: 0.837
Epoch: 2470, Train Loss: 1.633, Val AUC: 0.838
Epoch: 2480, Train Loss: 1.632, Val AUC: 0.840
Epoch: 2490, Train Loss: 1.604, Val AUC: 0.840
Epoch: 2500, Train Loss: 1.621, Val AUC: 0.837
Epoch: 2510, Train Loss: 1.602, Val AUC: 0.840
Epoch: 2520, Train Loss: 1.598, Val AUC: 0.840
Epoch: 2530, Train Loss: 1.589, Val AUC: 0.838
